listefiliere,abreviation
BIOCHIMIE,BCH
BIOLOGIE ET PHYSIOLOGIE ANIMALE,BOA
BIOLOGIE ET PHYSIOLOGIE VEGETALE,BOV
GEOSCIENCES,GEOS
CHIMIE,CHM
BIOSCIENCES,BIOS
INFORMATIQUE,INF
PHYSIQUE,PHY
MATHEMATIQUE,MAT
MICROBIOLOGIE,MIB
CHIMIE ORGANIQUE,CO
CHIMIE INORGANIQUE,CI
